link,current_price,old_price,avg_rating,cnt_reviews,title,author,ID товара,Издательство,Издательский бренд,Серия,Год издания,ISBN,Количество страниц,Размер,Тип обложки,Тираж,"Вес, г",Возрастные ограничения,Переводчик,Художник,Тип комикса,Разделы комикса
https://www.chitai-gorod.ru/product/vzglyani-na-arlekinov-3022863,339 ₽,435 ₽,5.0,2 оценки,Взгляни на арлекинов!,Владимир Набоков,3022863,Corpus,,Набоковский корпус,2024,978-5-17-161206-1,480,3.7x11.5x18,Мягкий переплёт,3000,310,18+,,,,
https://www.chitai-gorod.ru/product/alaya-bukva-2942245,735 ₽,943 ₽,3.8,85 оценок,Алая буква,Натаниель Готорн,2942245,Эксмо,,Элегантная классика,2024,978-5-04-173197-7,288,1.8x14.5x22,Твёрдый переплёт,2000,370,16+,,,,
https://www.chitai-gorod.ru/product/zapovednik-2501963,551 ₽,707 ₽,4.2,53 оценки,Заповедник,Сергей Довлатов,2501963,Азбука,,Азбука Premium,2024,978-5-389-10577-5,160,1.2x12x17,Твёрдый переплёт,2000,189,18+,,,,
https://www.chitai-gorod.ru/product/pikovaya-dama-s-illyustraciyami-lewisite-3077899,1241 ₽,1592 ₽,5.0,7 оценок,Пиковая дама (с иллюстрациями lewisite),Александр Пушкин,3077899,"Манн, Иванов и Фербер",,Вечные истории. Иллюстрированная классика Young Adult,2025,978-5-00214-859-2,96,1.3x20.2x26.3,Твёрдый переплёт,4000,594,16+,,,,
https://www.chitai-gorod.ru/product/zizn-klima-samgina-v-2-kn-kniga-1-3089351,367 ₽,471 ₽,3.0,2 оценки,Жизнь Клима Самгина. В 2 кн. Книга 1,Максим Горький,3089351,АСТ,Neoclassic,Эксклюзив: Русская классика,2025,978-5-17-173262-2,1152,4.7x11.7x18,Мягкий переплёт,4000,552,16+,,,,
https://www.chitai-gorod.ru/product/zapiski-unogo-vraca-vecnye-istorii-young-adult-3099332,541 ₽,772 ₽,4.2,5 оценок,Записки юного врача. Вечные истории. Young Adult,Михаил Булгаков,3099332,"Манн, Иванов и Фербер",,Вечные истории. Young Adult,2025,978-5-00250-311-7,192,0x0x0,Твёрдый переплёт,,10,16+,,,,
https://www.chitai-gorod.ru/product/voyna-v-vozduhe-3051026,293 ₽,376 ₽,5.0,1 оценка,Война в воздухе,Герберт Уэллс,3051026,АСТ,Neoclassic,Эксклюзивная классика,2024,978-5-17-164853-4,384,2.7x11.6x18,Мягкий переплёт,4000,240,12+,,,,
https://www.chitai-gorod.ru/product/vampiry-iz-semeynoy-hroniki-grafov-drakula-kardi-2964483,284 ₽,365 ₽,4.5,38 оценок,Вампиры. Из семейной хроники графов Дракула-Карди,Барон Олшеври,2964483,Эксмо,,Белая птица,2024,978-5-04-177033-4,320,2.2x11.5x18,Мягкий переплёт,2000,170,16+,,,,
https://www.chitai-gorod.ru/product/glaza-goluboy-sobaki-sbornik-2452891,367 ₽,471 ₽,3.9,38 оценок,Глаза голубой собаки : сборник,Габриэль Гарсиа Маркес,2452891,АСТ,Neoclassic,Эксклюзивная классика,2023,978-5-17-083699-4,160,1x17.3x17.7,Мягкий переплёт,3000,90,16+,,,,
https://www.chitai-gorod.ru/product/1984-2833054,284 ₽,365 ₽,4.0,76 оценок,1984,Джордж Оруэлл,2833054,Эксмо,,Белая птица,2021,978-5-04-116375-4,320,1.5x11.5x18,Мягкий переплёт,10000,189,16+,,,,
https://www.chitai-gorod.ru/product/frankenshteyn-2032621,299 ₽,359 ₽,4.3,89 оценок,Франкенштейн,Мэри Шелли,2032621,Азбука,,Азбука-классика (pocket-book),2011,"978-5-352-01058-7 978-5-389-02865-4 978-5-389-07640-2 978-5-9985-0310-8 978-5-352-01058-7, 978-5-389-02865-4, 978-5-389-07640-2, 978-5-9985-0310-8",320,1.3x11.5x18,Мягкий переплёт,5000,159,16+,,,,
https://www.chitai-gorod.ru/product/proshchanie-s-materoy-2835434,1103 ₽,1415 ₽,4.4,107 оценок,Прощание с Матёрой,Валентин Распутин,2835434,Азбука,,Русская литература. Большие книги,2025,978-5-389-19139-6,768,3.2x14.5x21.5,Твёрдый переплёт,2000,779,16+,,,,
