price,const,avg_rating,cnt_reviews,pages_cnt,tirage,publisher_АСТ,publisher_Азбука,publisher_Иностранка,publisher_Эксмо,cover_type_Твёрдый_переплёт,weight/page_cnt,2024_or_2025,6-,16+
413,1.0,4.4,203,704,7000,1.0,0.0,0.0,0.0,0.0,0.49573863636363635,1.0,0.0,1.0
289,1.0,4.0,311,352,8000,0.0,1.0,0.0,0.0,0.0,0.48295454545454547,1.0,0.0,1.0
551,1.0,4.4,18,512,5000,0.0,0.0,0.0,1.0,1.0,0.89453125,1.0,0.0,1.0
349,1.0,4.8,26,512,20000,0.0,0.0,0.0,1.0,1.0,0.703125,1.0,0.0,1.0
349,1.0,3.9,237,320,15000,0.0,0.0,0.0,1.0,1.0,0.809375,1.0,0.0,1.0
735,1.0,5.0,11,256,7000,0.0,0.0,1.0,0.0,1.0,1.015625,1.0,0.0,1.0
367,1.0,4.2,157,992,5000,1.0,0.0,0.0,0.0,0.0,0.5040322580645161,1.0,0.0,1.0
293,1.0,4.1,262,416,20000,0.0,0.0,0.0,1.0,1.0,0.7211538461538461,1.0,0.0,1.0
413,1.0,4.9,15,864,5000,1.0,0.0,0.0,0.0,0.0,0.48032407407407407,1.0,0.0,0.0
299,1.0,4.0,297,352,5000,1.0,0.0,0.0,0.0,0.0,0.59375,1.0,0.0,1.0
459,1.0,4.8,29,320,4000,0.0,0.0,0.0,1.0,0.0,0.8125,1.0,0.0,1.0
299,1.0,4.1,162,256,5000,1.0,0.0,0.0,0.0,0.0,0.6640625,1.0,0.0,0.0
735,1.0,4.2,365,480,5000,1.0,0.0,0.0,0.0,1.0,0.7895833333333333,1.0,0.0,0.0
299,1.0,4.0,192,352,5000,1.0,0.0,0.0,0.0,0.0,0.6221590909090909,1.0,0.0,0.0
312,1.0,3.9,114,288,4000,0.0,1.0,0.0,0.0,0.0,0.4861111111111111,1.0,0.0,1.0
284,1.0,4.7,125,352,4000,1.0,0.0,0.0,0.0,0.0,0.6221590909090909,1.0,0.0,0.0
459,1.0,4.0,232,704,7000,1.0,0.0,0.0,0.0,0.0,0.48295454545454547,1.0,0.0,1.0
299,1.0,4.9,16,352,5000,0.0,1.0,0.0,0.0,0.0,0.5113636363636364,1.0,0.0,1.0
284,1.0,4.3,126,352,4000,0.0,1.0,0.0,0.0,0.0,0.48295454545454547,1.0,0.0,1.0
441,1.0,4.1,44,576,7000,1.0,0.0,0.0,0.0,0.0,0.5729166666666666,1.0,0.0,1.0
293,1.0,4.2,158,416,10000,0.0,0.0,0.0,1.0,1.0,0.7211538461538461,1.0,0.0,1.0
349,1.0,4.4,136,512,5000,0.0,1.0,0.0,0.0,0.0,0.48828125,1.0,0.0,1.0
299,1.0,4.3,230,320,4000,1.0,0.0,0.0,0.0,0.0,0.653125,1.0,0.0,0.0
284,1.0,4.1,58,352,4000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,0.0
597,1.0,4.8,137,480,15000,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
339,1.0,4.9,50,352,20000,0.0,0.0,0.0,1.0,0.0,0.5056818181818182,1.0,0.0,1.0
349,1.0,4.1,167,352,10000,1.0,0.0,0.0,0.0,0.0,0.6221590909090909,1.0,0.0,1.0
367,1.0,4.1,169,800,12000,0.0,0.0,0.0,1.0,1.0,0.66125,1.0,0.0,1.0
293,1.0,4.0,81,640,6000,0.0,0.0,0.0,1.0,1.0,0.6859375,1.0,0.0,1.0
459,1.0,4.6,54,320,5000,0.0,0.0,0.0,1.0,0.0,0.875,1.0,0.0,1.0
284,1.0,4.4,195,384,5000,1.0,0.0,0.0,0.0,0.0,0.5989583333333334,1.0,0.0,0.0
330,1.0,4.4,66,288,10000,0.0,0.0,0.0,1.0,1.0,0.8298611111111112,1.0,0.0,1.0
284,1.0,4.0,192,288,5000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,1.0
284,1.0,4.0,178,320,4000,1.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,1.0
339,1.0,3.9,302,288,5000,1.0,0.0,0.0,0.0,0.0,0.6944444444444444,1.0,0.0,1.0
643,1.0,4.3,248,288,3000,1.0,0.0,0.0,0.0,1.0,1.1076388888888888,1.0,0.0,1.0
413,1.0,5.0,6,704,7000,1.0,0.0,0.0,0.0,0.0,0.45454545454545453,1.0,0.0,1.0
873,1.0,4.0,191,576,7000,0.0,0.0,0.0,1.0,1.0,0.9652777777777778,1.0,0.0,1.0
299,1.0,4.4,286,224,5000,1.0,0.0,0.0,0.0,0.0,0.7098214285714286,1.0,0.0,0.0
284,1.0,4.2,269,384,5000,1.0,0.0,0.0,0.0,0.0,0.5989583333333334,1.0,0.0,1.0
312,1.0,4.3,125,608,4000,1.0,0.0,0.0,0.0,0.0,0.4605263157894737,1.0,0.0,0.0
1057,1.0,4.2,352,832,5000,0.0,1.0,0.0,0.0,1.0,1.0216346153846154,1.0,0.0,1.0
284,1.0,4.2,217,384,5000,1.0,0.0,0.0,0.0,0.0,0.6223958333333334,1.0,0.0,0.0
321,1.0,4.2,304,608,5000,1.0,0.0,0.0,0.0,0.0,0.4753289473684211,1.0,0.0,0.0
330,1.0,4.3,129,448,7000,1.0,0.0,0.0,0.0,0.0,0.6450892857142857,1.0,0.0,1.0
1287,1.0,4.0,558,928,5000,0.0,0.0,1.0,0.0,1.0,0.9579741379310345,1.0,0.0,1.0
330,1.0,4.0,463,240,5000,0.0,0.0,0.0,1.0,0.0,0.6625,1.0,0.0,1.0
284,1.0,4.2,111,896,5000,0.0,1.0,0.0,0.0,0.0,0.48995535714285715,1.0,0.0,1.0
312,1.0,3.8,191,160,4000,1.0,0.0,0.0,0.0,0.0,0.74375,1.0,0.0,1.0
413,1.0,4.1,487,704,7000,1.0,0.0,0.0,0.0,0.0,0.5113636363636364,1.0,0.0,1.0
284,1.0,4.4,85,352,3000,1.0,0.0,0.0,0.0,0.0,0.6534090909090909,1.0,0.0,0.0
293,1.0,4.2,106,512,5000,1.0,0.0,0.0,0.0,0.0,0.48828125,1.0,1.0,0.0
551,1.0,4.2,58,448,4000,0.0,0.0,0.0,1.0,0.0,0.8035714285714286,1.0,0.0,1.0
303,1.0,4.5,89,384,6000,0.0,0.0,0.0,1.0,1.0,0.78125,1.0,0.0,1.0
312,1.0,4.0,252,480,4000,1.0,0.0,0.0,0.0,0.0,0.6020833333333333,1.0,0.0,1.0
299,1.0,4.1,109,352,3000,0.0,1.0,0.0,0.0,0.0,0.45170454545454547,0.0,0.0,1.0
284,1.0,4.9,37,192,4000,1.0,0.0,0.0,0.0,0.0,0.6770833333333334,1.0,0.0,1.0
735,1.0,4.9,50,672,5000,0.0,0.0,0.0,0.0,1.0,0.9672619047619048,1.0,0.0,1.0
671,1.0,4.4,24,480,6000,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
321,1.0,4.2,156,640,5000,1.0,0.0,0.0,0.0,0.0,0.484375,1.0,0.0,0.0
459,1.0,5.0,26,288,3000,0.0,0.0,0.0,1.0,0.0,0.8472222222222222,1.0,0.0,1.0
299,1.0,4.0,416,224,5000,1.0,0.0,0.0,0.0,0.0,0.6696428571428571,1.0,0.0,0.0
1149,1.0,4.5,73,864,3000,0.0,1.0,0.0,0.0,1.0,1.0069444444444444,1.0,0.0,1.0
625,1.0,4.9,72,480,10000,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
441,1.0,4.0,404,1024,5000,1.0,0.0,0.0,0.0,0.0,0.4677734375,1.0,0.0,1.0
349,1.0,4.1,374,384,20000,0.0,0.0,0.0,1.0,0.0,0.46875,1.0,0.0,1.0
293,1.0,4.3,117,320,10000,0.0,0.0,0.0,1.0,1.0,0.809375,1.0,0.0,1.0
579,1.0,3.9,210,416,9000,0.0,0.0,0.0,0.0,1.0,1.0336538461538463,1.0,0.0,0.0
413,1.0,4.1,347,960,5000,1.0,0.0,0.0,0.0,0.0,0.4791666666666667,1.0,0.0,1.0
505,1.0,4.2,233,416,4000,0.0,0.0,0.0,1.0,0.0,0.7932692307692307,1.0,0.0,1.0
312,1.0,4.3,116,544,5000,1.0,0.0,0.0,0.0,1.0,0.6966911764705882,1.0,0.0,0.0
1149,1.0,5.0,32,864,5000,0.0,0.0,1.0,0.0,1.0,1.099537037037037,1.0,0.0,1.0
299,1.0,4.1,186,384,7000,0.0,1.0,0.0,0.0,0.0,0.5208333333333334,1.0,0.0,1.0
689,1.0,4.3,346,672,4000,1.0,0.0,0.0,0.0,1.0,0.7440476190476191,1.0,0.0,0.0
358,1.0,4.3,306,352,5000,1.0,0.0,0.0,0.0,0.0,0.6221590909090909,1.0,0.0,0.0
330,1.0,4.4,40,544,3000,1.0,0.0,0.0,0.0,0.0,0.4963235294117647,1.0,0.0,0.0
339,1.0,4.2,154,448,7000,1.0,0.0,0.0,0.0,1.0,0.7589285714285714,1.0,0.0,1.0
459,1.0,4.6,68,320,5000,0.0,0.0,0.0,1.0,0.0,0.875,1.0,0.0,1.0
293,1.0,4.3,91,480,10000,0.0,0.0,0.0,1.0,1.0,0.7270833333333333,1.0,0.0,1.0
330,1.0,4.6,23,384,4000,1.0,0.0,0.0,0.0,0.0,0.59375,1.0,0.0,0.0
735,1.0,4.0,200,288,4000,0.0,0.0,1.0,0.0,1.0,0.9375,1.0,0.0,1.0
413,1.0,4.8,28,672,5000,0.0,0.0,0.0,1.0,1.0,0.6934523809523809,1.0,0.0,1.0
289,1.0,3.8,177,176,3000,0.0,1.0,0.0,0.0,0.0,0.5113636363636364,1.0,0.0,1.0
293,1.0,4.4,61,384,10000,0.0,0.0,0.0,1.0,1.0,0.7526041666666666,1.0,0.0,1.0
1195,1.0,4.8,52,800,5000,0.0,0.0,1.0,0.0,1.0,1.1775,1.0,0.0,1.0
